x,y
1,6460
2,6241
3,6329
4,6467
5,6710
6,6990
7,7055
8,7179
9,7116
10,7074
11,7104
12,7141
13,7127
14,7085
15,7183
16,7376
17,7529
18,7634
19,7508
20,7331
21,7144
22,7072
23,7207
24,7420
25,7651
26,7768
27,7930
28,8242
29,8299
30,8459
31,8473
32,8546
33,8422
34,8474
35,8627
36,8666
37,8701
38,8527
39,8474
40,8503
41,8312
42,8341
43,8283
44,8256
45,8256
46,8309
47,8390
48,8454
49,8592
50,8400
51,8163
52,7877
53,7641
54,7479
55,7189
56,6837
57,6597
58,6319
59,6365
60,6374
61,6432
62,6409
63,6527
64,6607
65,6810
66,6842
67,6838
68,6807
69,6718
70,6673
71,6759
72,6743
73,6696
74,6602
75,6492
76,6629
77,6769
78,6978
79,7026
80,7034
81,6944
82,6886
83,6881
84,6863
85,6907
86,7030
87,7194
88,7344
89,7541
90,7568
91,7394
92,7128
93,6872
94,6771
95,6787
96,6895
97,7069
98,7088
99,7271
100,7294
101,7424
102,7561
103,7502
104,7460
105,7397
106,7369
107,7625
108,7730
109,7783
110,7764
111,7745
112,7667
113,7590
114,7424
115,7163
116,6973
117,7003
118,7025
119,6894
120,6949
121,7096
122,7285
123,7490
124,7418
125,7120
126,6777
127,6609
128,6732
129,6699
130,6608
131,6844
132,7057
133,7263
134,7463
135,7660
136,7948
137,8065
138,8181
139,8067
140,7736
141,7423
142,7136
143,6873
144,6815
145,6728
146,6705
147,6762
148,6821
149,6870
150,6822
151,6929
152,7153
153,7191
154,7243
155,7044
156,6866
157,6719
158,6750
159,6578
160,6365
161,6096
162,5773
163,5478
164,5288
165,5157
166,5151
167,4991
168,4859
169,4835
170,4846
171,4874
172,4833
173,4817
174,4805
175,4679
176,4457
177,4395
178,4487
179,4585
180,4704
181,4876
182,4903
183,5022
184,5104
185,5045
186,5028
187,5170
188,5366
189,5515
190,5580
191,5500
192,5415
193,5407
194,5489
195,5561
196,5611
197,5785
198,5999
199,6406
200,6836
201,7294
202,7671
203,7823
204,7926
205,8360
206,8567
207,8515
208,8248
209,7955
210,7510
211,7439
212,7292
213,7213
214,7111
215,6966
216,7076
217,7111
218,7094
219,6958
220,6955
221,6930
222,7047
223,7164
224,7293
225,7433
226,7556
227,7708
228,8321
229,8618
230,8426
231,8130
232,7818
233,7583
234,7206
235,6764
236,6401
237,6101
238,5843
239,5668
240,5591
241,5751
242,5929
243,5956
244,5996
245,6141
246,6181
247,6223
248,6217
249,6160
250,6072
251,6066
252,6128
253,6063
254,6011
255,6031
256,6072
257,6052
258,5846
259,5684
260,5649
261,5693
262,5917
263,6007
264,5907
265,5769
266,5791
267,5901
268,5939
269,5969
270,6072
271,6396
272,6498
273,6442
274,6372
275,6266
276,6016
277,5727
278,5417
279,5275
280,5329
281,5454
282,5543
283,5686
284,5565
285,5456
286,5357
287,5317
288,5400
289,5527
290,5642
291,5789
292,5840
293,5855
294,5826
295,5802
296,5852
297,5837
298,5866
299,5721
300,5602
301,5516
302,5449
303,5531
304,5451
305,5368
306,5147
307,4791
308,4631
309,4526
310,4505
311,4488
312,4430
313,4229
314,4101
315,4076
316,4081
317,4232
318,4427
319,4701
320,4856
321,4735
322,4624
323,4521
324,4509
325,4480
326,4382
327,4405
328,4409
329,4428
330,4452
331,4483
332,4567
333,4453
334,4362
335,4266
336,4138
337,4133
338,4053
339,4004
340,4047
341,4001
342,4005
343,3950
344,3955
345,3999
346,4011
347,4044
348,4102
349,4081
350,4134
351,4232
352,4278
353,4408
354,4557
355,4596
356,4483
357,4424
358,4351
359,4206
360,4087
361,4030
362,4046
363,4138
364,4374
365,4607
366,4767
367,4790
368,4787
369,4665
370,4516
371,4368
372,4285
373,4337
374,4413
375,4526
376,4583
377,4655
378,4699
379,4653
380,4658
381,4618
382,4484
383,4334
384,4176
385,4184
386,4190
387,4211
388,4233
389,4174
390,4194
391,4220
392,4176
393,4244
394,4409
395,4466
396,4349
397,4253
398,4216
399,4295
400,4442
401,4575
402,4781
403,5055
404,5224
405,5389
406,5470
407,5447
408,5492
409,5617
410,5709
411,5799
412,5986
413,5965
414,5906
415,5953
416,5975
417,5910
418,5843
419,5781
420,5794
421,5873
422,5904
423,5771
424,5556
425,5308
426,4943
427,4408
428,4106
429,4041
430,4059
431,4255
432,4457
433,4678
434,4770
435,4805
436,4819
437,4738
438,4644
439,4722
440,4882
441,4897
442,4823
443,4574
444,4466
445,4417
446,4342
447,4313
448,4417
449,4527
450,4588
451,4804
452,5026
453,5055
454,5123
455,5217
456,5208
457,5248
458,5059
459,4581
460,4223
461,4079
462,4006
463,3852
464,3666
465,3528
466,3374
467,3277
468,3265
469,3333
470,3465
471,3623
472,3834
473,4009
474,4207
475,4349
476,4511
477,4639
478,4827
479,4758
480,4586
481,4616
482,4771
483,4845
484,4831
485,4580
486,4262
487,4016
488,3719
489,3574
490,3490
491,3542
492,3684
493,3755
494,3904
495,4029
496,4162
497,4187
498,4244
499,4253
500,4265
501,4217
502,4151
503,4088
504,4009
505,3957
506,3912
507,3762
508,3660
509,3534
510,3531
511,3562
512,3627
