x,y
1,5587
2,5604
3,5734
4,5930
5,5961
6,5866
7,5766
8,5613
9,5512
10,5337
11,5243
12,5212
13,5433
14,5523
15,5465
16,5422
17,5401
18,5460
19,5523
20,5640
21,5813
22,5881
23,5973
24,6003
25,5919
26,5617
27,5317
28,5226
29,5218
30,5192
31,5137
32,5124
33,5153
34,5124
35,5097
36,5084
37,5083
38,5048
39,5206
40,5252
41,5282
42,5252
43,5103
44,5040
45,5091
46,5166
47,5119
48,5244
49,5476
50,5656
51,5778
52,5935
53,6080
54,6200
55,6253
56,6233
57,6287
58,6261
59,6161
60,6114
61,6054
62,6040
63,6017
64,6057
65,5986
66,5967
67,5915
68,5942
69,6084
70,6101
71,5976
72,5582
73,5236
74,4906
75,4701
76,4684
77,4672
78,4796
79,4992
80,5075
81,5249
82,5309
83,5256
84,5280
85,5148
86,4952
87,4915
88,5052
89,5260
90,5450
91,5633
92,5672
93,5667
94,5615
95,5421
96,5188
97,4939
98,4847
99,4873
100,4837
101,4698
102,4752
103,4955
104,5093
105,5309
106,5274
107,5198
108,5198
109,5237
110,5303
111,5458
112,5472
113,5368
114,5375
115,5319
116,5153
117,5010
118,5043
119,5090
120,5215
121,5372
122,5490
123,5429
124,5357
125,5178
126,5038
127,4968
128,4902
129,4942
130,5018
131,5140
132,5244
133,5408
134,5634
135,5895
136,6065
137,6225
138,6377
139,6347
140,6585
141,6671
142,7022
143,7233
144,7269
145,7155
146,6801
147,6370
148,5944
149,5593
150,5408
151,5126
152,5263
153,5502
154,5734
155,5982
156,6419
157,6882
158,7436
159,7870
160,7944
161,7967
162,7987
163,7985
164,7892
165,7759
166,7640
167,7425
168,7075
169,6922
170,6989
171,7047
172,7242
173,7250
174,7270
175,7224
176,7007
177,6768
178,6452
179,6488
180,6669
181,6800
182,6941
183,7102
184,7316
185,7540
186,7782
187,7793
188,7394
189,6883
190,6635
191,6603
192,6455
193,6368
194,6310
195,6283
196,6133
197,6088
198,6075
199,6055
200,6132
201,6265
202,6548
203,6701
204,6730
205,6908
206,7041
207,7131
208,7246
209,7396
210,7328
211,7207
212,6989
213,6722
214,6408
215,6145
216,5904
217,5727
218,5777
219,5766
220,5811
221,5915
222,5963
223,5929
224,5788
225,5860
226,5979
227,6179
228,6195
229,6167
230,6161
231,6166
232,6153
233,6160
234,6181
235,6140
236,6076
237,6088
238,6156
239,6191
240,6272
241,6459
242,6582
243,6709
244,6736
245,6758
246,6785
247,7036
248,7180
249,7184
250,7229
251,7180
252,7085
253,6860
254,6726
255,6567
256,6301
257,6157
258,6232
259,6457
260,6582
261,6671
262,6931
263,7296
264,7560
265,7805
266,8007
267,8171
268,8222
269,8179
270,8268
271,8418
272,8517
273,8438
274,8252
275,8305
276,8198
277,8118
278,8166
279,8221
280,8075
281,7846
282,7710
283,7312
284,6892
285,6393
286,6293
287,6383
288,6579
289,6846
290,7123
291,7317
292,7462
293,7482
294,7384
295,7146
296,6968
297,6851
298,6678
299,6449
300,6222
301,6158
302,6177
303,6006
304,5945
305,5912
306,5903
307,6107
308,6407
309,6642
310,6970
311,7128
312,7132
313,6961
314,6846
315,6955
316,6715
317,6516
318,6330
319,5944
320,5800
321,5542
322,5428
323,5407
324,5505
325,5610
326,5471
327,5467
328,5338
329,5221
330,5028
331,5147
332,5180
333,5265
334,5499
335,5717
336,5753
337,5492
338,5137
339,4826
340,4703
341,4537
342,4498
343,4577
344,4907
345,5190
346,5550
347,5666
348,5808
349,5874
350,5747
351,5781
352,5857
353,6121
354,6260
355,6123
356,5923
357,6002
358,6226
359,6406
360,6585
361,6681
362,6664
363,6649
364,6652
365,6478
366,6421
367,6476
368,6610
369,6855
370,6966
371,6928
372,6868
373,6787
374,6672
375,6558
376,6454
377,6292
378,6197
379,6056
380,5986
381,5963
382,5914
383,5993
384,6018
385,6060
386,6059
387,6021
388,5848
389,5740
390,5814
391,5981
392,6270
393,6581
394,6760
395,6785
396,6632
397,6539
398,6481
399,6264
400,6140
401,5997
402,5849
403,5760
404,5739
405,5801
406,5935
407,6031
408,6037
409,6062
410,6079
411,6142
412,6157
413,6100
414,5823
415,5659
416,5547
417,5431
418,5298
419,5116
420,5000
421,4858
422,4699
423,4733
424,4779
425,4969
426,5194
427,5407
428,5548
429,5877
430,6054
431,6028
432,5868
433,5585
434,5390
435,5247
436,5140
437,5044
438,5164
439,5287
440,5146
441,4854
442,4621
443,4595
444,4606
445,4779
446,5074
447,5366
448,5525
449,5680
450,5610
451,5278
452,4862
453,4502
454,4242
455,3967
456,3688
457,3542
458,3354
459,3276
460,3323
461,3388
462,3531
463,3665
464,3812
465,3814
466,3762
467,3597
468,3495
469,3422
470,3344
471,3421
472,3492
473,3589
474,3681
475,3713
476,3752
477,3783
478,3889
479,4163
480,4375
481,4465
482,4413
483,4216
484,4037
485,4114
486,4056
487,4043
488,4042
489,3963
490,3944
491,3888
492,3902
493,4012
494,4027
495,3985
496,3807
497,3802
498,3816
499,3891
500,3884
501,3882
502,3892
503,3838
504,3719
505,3601
506,3619
507,3633
508,3657
509,3689
510,3722
511,3770
512,3847
