x,y
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,11
10,22
11,20
12,7
13,114
14,812
15,1308
16,3965
17,9344
18,13700
19,19095
20,25797
21,37176
22,50050
23,61872
24,73376
25,82133
26,87138
27,92331
28,96965
29,101409
30,102977
31,98242
32,89048
33,77275
34,65194
35,53156
36,42152
37,33374
38,26687
39,22496
40,20306
41,17697
42,14055
43,11082
44,7848
45,5460
46,3763
47,3203
48,3394
49,3778
50,3461
51,3329
52,3540
53,4003
54,4497
55,4534
56,4337
57,4546
58,4590
59,4680
60,4681
61,4757
62,5059
63,5653
64,5993
65,6061
66,6166
67,6121
68,5655
69,5095
70,4486
71,3852
72,3700
73,3487
74,3524
75,3640
76,3573
77,3747
78,4384
79,5458
80,5917
81,5867
82,5513
83,5292
84,5053
85,4458
86,3923
87,4160
88,4324
89,4292
90,4003
91,3759
92,4220
93,4644
94,4930
95,5803
96,6305
97,6579
98,6953
99,6967
100,6820
101,6432
102,6622
103,7516
104,8165
105,8131
106,7654
107,7962
108,8208
109,8596
110,9251
111,8686
112,7340
113,5408
114,4068
115,3061
116,2253
117,1367
118,949
119,851
120,1044
121,1456
122,1645
123,1723
124,1778
125,2033
126,2443
127,3230
128,3929
129,4460
130,4667
131,4467
132,4311
133,4532
134,5517
135,6339
136,7171
137,7907
138,8141
139,8096
140,8298
141,8601
142,8385
143,7876
144,7184
145,6840
146,5889
147,4869
148,4147
149,3242
150,3082
151,3201
152,3339
153,3748
154,3900
155,3645
156,3059
157,2440
158,1620
159,973
160,644
161,402
162,530
163,761
164,971
165,1193
166,1338
167,1363
168,1424
169,1567
170,1660
171,1528
172,1350
173,1518
174,1828
175,2092
176,2216
177,2136
178,2167
179,1853
180,1526
181,1232
182,1107
183,1179
184,1421
185,2168
186,3036
187,4166
188,5265
189,6568
190,7776
191,8963
192,10097
193,10705
194,11796
195,12134
196,12349
197,12303
198,12305
199,12139
200,12143
201,12578
202,12630
203,12968
204,13160
205,13299
206,13037
207,12804
208,12421
209,12510
210,12669
211,12485
212,13102
213,13625
214,14125
215,14494
216,14764
217,14709
218,14942
219,15054
220,15224
221,15562
222,15872
223,16079
224,15792
225,15562
226,14954
227,14318
228,14101
229,13749
230,13532
231,12905
232,12881
233,13026
234,12703
235,12661
236,12406
237,12203
238,11928
239,11414
240,10779
241,10106
242,9799
243,9285
244,8713
245,8384
246,7875
247,7625
248,7614
249,7463
250,7283
251,7358
252,7134
253,7008
254,6933
255,6792
256,6518
257,5981
258,5879
259,5618
260,5656
261,5268
262,4999
263,4769
264,4568
265,4439
266,4500
267,4496
268,4533
269,4415
270,4507
271,4452
272,4565
273,4432
274,4544
275,4457
276,4365
277,4238
278,4211
279,4079
280,4037
281,3759
282,3526
283,3384
284,3246
285,3208
