x,y
1,25808.947
2,22849.973
3,17726.379
4,16510.162
5,17557.234
6,17871.275
7,16228.08
8,15750.853
9,14088.141
10,14819.396
11,13917.748
12,15547.877
13,14367.377
14,14541.633
15,15622.217
16,13087.979
17,16392.727
18,20334.09
19,18311.512
20,18346.932
21,23192.205
22,16601.703
23,15972.475
24,16126.99
25,16150.913
26,14328.809
27,13946.142
28,14572.387
29,12810.846
30,19284.334
31,14041.24
32,13168.544
33,14466.909
34,15377.721
35,15353.166
36,13624.366
37,13010.67
38,16837.666
39,16170.455
40,15272.998
41,23678.928
42,23380.004
43,19591.795
44,13885.206
45,13629.469
46,17437.965
47,20236.646
48,21527.73
49,20356.158
50,19560.189
51,14510.22
52,18599.273
53,16091.464
54,16482.453
55,17838.027
56,15591.623
57,21115.758
58,16170.811
59,15779.957
60,20342.377
61,15824.493
62,18034.658
63,21778.777
64,20121.66
65,17309.633
66,15848.048
67,16632.182
68,18284.467
69,23323.213
70,18420.186
71,21124.387
72,18206.834
73,18219.016
74,16450.727
75,14613.618
76,14054.258
77,13471.95
78,13246.142
79,15405.667
80,16467.08
81,18713.846
82,17269.383
83,12666.553
84,13968.53
85,18440.447
86,19761.482
87,15882.035
88,13263.516
89,14793.438
90,14407.856
91,18358.066
92,18728.199
93,13495.225
94,14686.192
95,14888.461
96,15388.905
97,12476.749
98,13286.456
99,14506.891
100,12338.402
101,12502.962
102,13247.45
103,13623.762
104,14726.118
105,14079.876
106,15310.534
107,12523.627
108,13508.821
109,13205.074
110,15494.656
111,16478.256
112,12537.507
113,13588.834
114,14788.734
115,15976.838
116,18338.928
117,16794.541
118,14405.523
119,14323.029
120,14127.99
121,15832.369
122,14553.642
123,16144.579
124,13231.995
125,12081.346
126,13600.181
127,14653.893
128,14941.563
129,14744.08
130,14526.084
131,11396.952
132,11361.099
133,13233.204
134,12705.008
135,13678.354
136,12343.219
137,19407.244
138,17653.748
139,16014.223
140,12946.292
141,12768.545
142,10889.473
143,12964.357
144,15046.108
145,17309.475
146,15942.651
147,16557.49
148,17196.139
149,13202.88
150,15259.053
151,14834.208
152,13192.829
153,14423.306
154,11966.948
155,13383.868
156,13305.097
157,16011.11
158,13830.743
159,13371.063
160,13268.562
161,11199.964
162,11456.387
163,13859.062
164,13332.137
165,14431.679
166,12448.465
167,14284.015
168,11018.061
169,12399.718
170,12254.511
171,12938.66
172,11800.821
173,12406.408
174,11970.578
175,13614.32
176,13871.556
177,16463.176
178,12841.734
179,11966.112
180,13924.316
181,13141.094
182,15713.871
183,16179.408
184,14892.571
185,16952.906
186,14457.155
187,14543.329
188,15504.417
189,15144.567
190,12816.235
191,12277.847
192,15607.916
193,14062.712
194,12843.762
195,12775.238
196,13012.553
197,13811.735
198,12483.505
199,14535.279
200,15030.228
201,13774.054
202,13846.135
203,14490.247
204,20173.014
205,15011.759
206,13000.719
207,13883.708
208,15462.975
209,12810.733
210,13238.594
211,12391.356
212,13291.488
213,19069.621
214,12454.244
215,18328.199
216,16383.191
217,19301.248
218,16824.99
219,16492.932
220,15005.209
221,17237.771
222,15910.185
223,13867.41
224,14388.768
