x,y
1,14315.89
2,10901.142
3,11584.448
4,9764.0215
5,11126.035
6,10714.919
7,9995.252
8,13163.521
9,9929.7813
10,10115.891
11,9306.0703
12,13234.898
13,11350.411
14,10784.232
15,9452.1084
16,9859.2266
17,11335.736
18,8984.4521
19,10983.378
20,13469.027
21,17127.535
22,12779.826
23,13793.153
24,13713.985
25,12148.783
26,15710.492
27,13515.371
28,11546.971
29,12600.733
30,11081.813
31,15019.345
32,15149.341
33,13303.515
34,14360.559
35,13675.511
36,14197.537
37,16144.003
38,15410.983
39,14763.368
40,17420.447
41,16310.67
42,14789.252
43,15714.081
44,14758.089
45,13977.226
46,12403.557
47,12499.467
48,13352.685
49,13878.876
50,16230.257
51,14656.248
52,14752.849
53,16395.246
54,16455.371
55,13191.805
56,12029.137
57,11132.112
58,14376.681
59,13023.91
60,13310.978
61,14981.229
62,14952.618
63,12448.965
64,11549.778
65,12833.416
66,11914.743
67,14203.696
68,12782.763
69,12437.779
70,13724.899
71,12583.354
72,12561.657
73,13201.946
74,14957.481
75,15366.188
76,14307.001
77,13624.609
78,13317.628
79,12159.947
80,12179.315
81,13942.645
82,12854.969
83,13005.543
84,11219.419
85,12481.6
86,13916.814
87,14414.956
88,13054.452
89,13137.151
90,12947.59
91,12872.474
92,16341.999
93,11662.275
94,11533.237
95,13580.323
96,11997.003
97,10966.959
98,10622.022
99,12595.836
100,12320.561
101,14332.962
102,14780.018
103,11857.232
104,14068.211
105,10991.594
106,13880.456
107,10985.818
108,11338.223
109,10869.98
110,12215.479
111,15388.465
112,12944.617
113,14124.048
114,14886.348
115,11180.149
116,11753.372
117,11662.764
118,12136.553
119,13064.82
120,11495.253
121,10910.427
122,11887.269
123,13177.472
124,13528.646
125,13935.577
126,12441.484
127,12045.388
128,11827.287
129,12688.84
130,11542.307
131,12387.314
132,9970.2813
133,10731.146
134,12600.642
135,10919.647
136,12173.493
137,13914.409
138,12271.472
139,13932.601
140,12540.333
141,13585.698
142,12885.2
143,12851.23
144,14108.414
145,12747.28
146,14387.328
147,13066.712
148,13633.716
149,12427.918
150,12514.521
151,13097.124
152,12777.645
153,11363.338
154,12033.572
155,12895.668
156,13829.689
157,14202.886
158,15056.115
159,13229.548
160,15221.479
161,15767.638
162,15740.771
163,15547.659
164,15428.058
165,14365.233
166,15414.021
167,13505.277
168,15643.845
169,12534.494
170,13682.307
171,14530.564
172,11220.595
173,14403.427
174,12812.771
175,13396.68
176,15178.566
177,13293.291
178,10906.687
179,12808.535
180,12688.416
181,14422.915
182,14931.562
183,16243.448
184,13381.853
185,13130.383
186,14089.495
187,13825.597
188,15584.524
189,14041.05
190,13105.212
191,14302.023
192,13862.739
193,13764.554
194,14665.378
195,15421.093
196,13306.213
197,12313.433
198,12097.226
199,13455.822
200,11075.312
201,10384.922
202,15572.464
203,15105.23
204,15774.428
205,15542.422
206,18691.766
207,15431.272
208,10379.908
209,12058.329
210,11269.097
211,11050.294
212,8267.6455
213,8767.7139
214,9986.5879
215,10906.376
216,16682.645
217,13113.743
218,14500.066
219,14506.465
220,15131.797
221,14166.14
222,14733.255
223,14276.124
224,12615.665
225,13303.921
226,12729.406
227,14701.867
228,14368.185
229,11911.535
230,12047.284
231,12347.149
232,11411.388
233,11924.397
234,14030.181
235,15979.038
236,15445.376
237,15630.102
238,14217.152
239,15955.837
240,18572.953
241,21208.992
242,18318.314
243,18382.26
244,15021.716
245,15193.612
246,13439.932
247,12602.324
248,12186.775
249,14787.468
250,14818.177
251,14101.166
252,14913.899
253,15901.703
254,14847.108
255,15377.767
256,15868.852
257,16761.307
258,12358.771
259,17212.027
260,14810.257
261,14874.663
262,16368.579
263,15693.867
264,16427.105
265,17051.775
266,17039.326
267,15439.722
268,14546.906
269,19454.898
270,19612.623
271,18711.646
272,19140.246
273,17470.471
274,17345.426
275,17780.58
276,15521.077
277,16784.387
278,17573.246
279,16080.025
280,17031.494
281,17123.125
282,15617.702
283,15586.046
284,16874.654
