x,y
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,15755.17188
10,3562.019531
11,1703.618042
12,7381.902832
13,16597.20117
14,7913.922363
15,7257.600586
16,12637.11719
17,23553.6875
18,21014.79883
19,24816.03906
20,36411.51172
21,41807.63281
22,36171.52734
23,59509.68359
24,62496.86719
25,52853.57031
26,100515.6016
27,43797.76563
28,24864.01563
29,62548.88281
30,16617.59766
31,36541.9375
32,22923.41797
33,41996.76953
34,67525.16406
35,67132.79688
36,34351.19922
37,32289.125
38,34523.14063
39,55629.83984
40,41695.05078
41,36299.44531
42,33006.67578
43,21287.90234
44,18554.08594
45,17379.16602
46,9515.738281
47,7220.041016
48,9271.269531
49,11163.55469
50,11244.30273
51,8362.59082
52,9227.93457
53,11948.06934
54,6619.035156
55,7386.10791
56,7064.127441
57,5863.751465
58,9671.789063
59,9039.282227
60,8786.726563
61,10611.16406
62,11742.1123
63,10224.42871
64,10651.92285
65,10014.98535
66,10641.00781
67,8233.344727
68,6091.416504
69,7433.649902
70,13775.35645
71,11324.84082
72,7900.495117
73,8713.407227
74,10173.03125
75,9643.470703
76,6681.444824
77,7826.846191
78,11957.61816
79,15221.36816
80,18616.82813
81,18899.62305
82,17461.00195
83,18918.48828
84,15804.23535
85,15040.13086
86,7316.610352
87,7040.493652
88,8787.805664
89,7456.131836
90,10194.93945
91,9862.845703
92,6070.660156
93,8662.34082
94,12196.73242
95,8959.158203
96,6677.811035
97,11140.30273
98,12525.55371
99,6986.690918
100,11323.52539
101,6560.163574
102,9049.75
103,7786.147461
104,8335.917969
105,8690.217773
106,10771.82617
107,10219.8125
108,10359.89941
109,9675.53418
110,9239.301758
111,10128.56543
112,11376.11719
113,8399.734375
114,26610.91797
115,9183.317383
116,14769.78223
117,8696.844727
118,6141.172363
119,5164.116699
120,5269.461426
121,5577.673828
122,4614.298828
123,3886.561035
124,4481.328613
125,3930.515137
126,4253.345703
127,4439.941895
128,8665.051758
129,6928.240234
130,6776.416992
131,7158.609375
132,8505.189453
133,8147.385742
134,16168.13184
135,12369.23145
136,11733.56152
137,6714.025879
138,11585.44629
139,11611.60938
140,12126.03613
141,12790.33984
142,19482.85547
143,17908.70313
144,9089.483398
145,7759.070801
146,6555.211426
147,9488.382813
148,7077.380859
149,7498.898438
150,6406.646973
151,6508.970215
152,7915.568848
153,13714.82813
154,17662.99219
155,7909.016602
156,9447.46875
157,13381.28516
158,13780.47168
159,8936.944336
160,9538.34082
161,3472.456543
162,3265.268799
163,5692.802246
164,3647.845459
165,10656.34961
166,11407.37402
167,20124.24609
168,6090.641602
169,6334.625
170,10903.34082
171,19382.4668
172,19208.75195
173,13133.5791
174,12335.7334
175,12965.30762
176,11638.41309
177,12745.25391
178,10769.85449
179,10865.03711
180,8564.31543
181,7341.304199
182,8266.457031
183,6388.964355
184,6282.006348
185,9212.255859
186,10020.63184
187,12154.93555
188,15559.96191
189,20542.27344
190,20823.62891
191,22346.48438
192,24650.44727
193,26033.25977
194,25084.9043
195,26505.85156
196,30217.69922
197,26962.08984
198,27761.04492
199,27161.00781
200,21022.01367
201,21588.02734
202,22615.18164
203,21819.92969
204,21569.08398
205,21950.14453
206,18454.01563
207,20081.26563
208,20634.85352
209,21366.15234
210,19776.41406
211,20098.95313
212,20760.30664
213,20939.29492
214,20612.61328
215,18833.61914
216,18894.34961
217,17096.7832
218,18082.22656
219,17881.79492
220,17840.78711
221,18870.93164
222,18138.86719
223,19313.53711
224,17359.98242
225,23333.19727
226,15538.93652
227,18662.22266
228,18859.24609
229,18673.24414
230,19280.61523
231,19301.77148
232,19702.67969
233,20057.36328
234,17460.58984
235,22196.05469
236,20885.79297
237,18705.61914
238,19832.30859
239,21607.44727
240,19633.12695
241,16994.57813
242,20092.42773
243,16267.33887
244,16664.80664
245,14067.76758
246,12579.21973
247,12968.42578
248,13109.89844
249,11290.66504
250,10922.72852
251,11537.66895
252,10924.14746
253,11373.33691
254,11841.90234
255,11082.68359
256,12016.53418
257,12076.58105
258,11395.74121
259,12626.73633
260,11270.12598
261,10589.89453
262,9602.132813
263,9217.248047
264,8911.597656
265,8529.00293
266,8370.454102
267,8323.408203
268,9636.556641
269,10348.12695
270,9151.978516
271,10358.56836
272,10777.62012
273,9743.488281
274,10007.93262
275,9579.577148
276,11163.59277
277,10284.84961
278,10128.1416
279,9898.838867
280,9783.949219
281,10547.83105
282,11281.86719
283,11554.64844
284,10771.03613
285,12811.00684
