x,y
1,0.044270833
2,0.042770011
3,0.043373081
4,0.044318805
5,0.045984101
6,0.047902961
7,0.04834841
8,0.049198191
9,0.048766447
10,0.048478618
11,0.048684211
12,0.048937774
13,0.048841831
14,0.048554002
15,0.049225603
16,0.050548246
17,0.051596765
18,0.052316338
19,0.051452851
20,0.050239857
21,0.048958333
22,0.048464912
23,0.049390077
24,0.050849781
25,0.05243284
26,0.053234649
27,0.054344846
28,0.056483004
29,0.056873629
30,0.057970121
31,0.058066064
32,0.058566338
33,0.057716557
34,0.058072917
35,0.059121436
36,0.059388706
37,0.059628564
38,0.058436129
39,0.058072917
40,0.058271656
41,0.056962719
42,0.057161458
43,0.05676398
44,0.056578947
45,0.056578947
46,0.05694216
47,0.057497259
48,0.057935855
49,0.058881579
50,0.057565789
51,0.055941612
52,0.053981634
53,0.052364309
54,0.051254112
55,0.049266721
56,0.046854441
57,0.045209704
58,0.04330455
59,0.043619792
60,0.043681469
61,0.044078947
62,0.043921327
63,0.044729989
64,0.045278235
65,0.046669408
66,0.046888706
67,0.046861294
68,0.046648849
69,0.046038925
70,0.045730537
71,0.046319901
72,0.046210252
73,0.045888158
74,0.045243969
75,0.044490132
76,0.045429002
77,0.046388432
78,0.047820724
79,0.048149671
80,0.048204496
81,0.047587719
82,0.047190241
83,0.047155976
84,0.047032621
85,0.047334156
86,0.048177083
87,0.049300987
88,0.050328947
89,0.051679002
90,0.051864035
91,0.050671601
92,0.048848684
93,0.047094298
94,0.046402138
95,0.046511787
96,0.047251919
97,0.048444353
98,0.048574561
99,0.049828673
100,0.049986294
101,0.050877193
102,0.051816064
103,0.051411732
104,0.051123904
105,0.05069216
106,0.050500274
107,0.05225466
108,0.052974232
109,0.053337445
110,0.053207237
111,0.053077029
112,0.052542489
113,0.052014803
114,0.050877193
115,0.049088542
116,0.047786458
117,0.04799205
118,0.048142818
119,0.047245066
120,0.047621985
121,0.048629386
122,0.049924616
123,0.051329496
124,0.050836075
125,0.04879386
126,0.046443257
127,0.045291941
128,0.046134868
129,0.045908717
130,0.045285088
131,0.046902412
132,0.048362116
133,0.049773849
134,0.051144463
135,0.052494518
136,0.054468202
137,0.055270011
138,0.056064967
139,0.055283717
140,0.053015351
141,0.05087034
142,0.048903509
143,0.047101151
144,0.046703673
145,0.046107456
146,0.045949836
147,0.046340461
148,0.046744792
149,0.047080592
150,0.046751645
151,0.047484923
152,0.049020011
153,0.049280428
154,0.049636787
155,0.048273026
156,0.04705318
157,0.046045779
158,0.046258224
159,0.045079496
160,0.043619792
161,0.041776316
162,0.039562774
163,0.037541118
164,0.036239035
165,0.035341283
166,0.035300164
167,0.034203673
168,0.033299068
169,0.033134594
170,0.033209978
171,0.033401864
172,0.033120888
173,0.033011239
174,0.032929002
175,0.032065515
176,0.030544134
177,0.030119243
178,0.030749726
179,0.031421327
180,0.032236842
181,0.03341557
182,0.033600603
183,0.034416118
184,0.03497807
185,0.034573739
186,0.034457237
187,0.035430373
188,0.036773575
189,0.037794682
190,0.038240132
191,0.037691886
192,0.037109375
193,0.03705455
194,0.037616502
195,0.038109923
196,0.038452577
197,0.039645011
198,0.041111568
199,0.043900768
200,0.046847588
201,0.049986294
202,0.052569901
203,0.053611568
204,0.054317434
205,0.057291667
206,0.058710252
207,0.058353893
208,0.056524123
209,0.054516173
210,0.051466557
211,0.050979989
212,0.049972588
213,0.049431195
214,0.048732182
215,0.047738487
216,0.048492325
217,0.048732182
218,0.04861568
219,0.047683662
220,0.047663103
221,0.047491776
