x,y
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,4.20E-05
10,8.39E-05
11,7.63E-05
12,2.67E-05
13,0.000434875
14,0.003097534
15,0.004989624
16,0.015125275
17,0.035644531
18,0.052261353
19,0.072841644
20,0.098407745
21,0.141815186
22,0.190925598
23,0.236022949
24,0.279907227
25,0.313312531
26,0.33240509
27,0.352214813
28,0.36989212
29,0.386844635
30,0.39282608
31,0.374763489
32,0.339691162
33,0.294780731
34,0.248695374
35,0.202774048
36,0.160797119
37,0.127311707
38,0.101802826
39,0.08581543
40,0.077461243
41,0.067508698
42,0.05361557
43,0.042274475
44,0.029937744
45,0.020828247
46,0.014354706
47,0.012218475
48,0.012947083
49,0.014411926
50,0.013202667
51,0.012699127
52,0.013504028
53,0.015270233
54,0.017154694
55,0.017295837
56,0.016544342
57,0.017341614
58,0.01750946
59,0.017852783
60,0.017856598
61,0.018146515
62,0.019298553
63,0.021564484
64,0.022861481
65,0.02312088
66,0.023521423
67,0.023349762
68,0.021572113
69,0.019435883
70,0.017112732
71,0.014694214
72,0.01411438
73,0.013301849
74,0.013442993
75,0.013885498
76,0.013629913
77,0.014293671
78,0.016723633
79,0.020820618
80,0.022571564
81,0.022380829
82,0.021030426
83,0.020187378
84,0.019275665
85,0.01700592
86,0.014965057
87,0.015869141
88,0.016494751
89,0.016372681
90,0.015270233
91,0.014339447
92,0.016098022
93,0.017715454
94,0.018806458
95,0.022136688
96,0.024051666
97,0.025096893
98,0.02652359
99,0.026576996
100,0.026016235
101,0.024536133
102,0.025260925
103,0.028671265
104,0.031147003
105,0.031017303
106,0.029197693
107,0.03037262
108,0.031311035
109,0.032791138
110,0.035289764
111,0.03313446
112,0.027999878
113,0.020629883
114,0.015518188
115,0.011676788
116,0.008594513
117,0.005214691
118,0.003620148
119,0.003246307
120,0.003982544
121,0.005554199
122,0.006275177
123,0.006572723
124,0.006782532
125,0.00775528
126,0.009319305
127,0.012321472
128,0.014987946
129,0.01701355
130,0.017803192
131,0.017040253
132,0.01644516
133,0.017288208
134,0.021045685
135,0.024181366
136,0.027355194
137,0.030162811
138,0.03105545
139,0.030883789
140,0.031654358
141,0.032810211
142,0.031986237
143,0.030044556
144,0.027404785
145,0.026092529
146,0.022464752
147,0.018573761
148,0.01581955
149,0.012367249
150,0.011756897
151,0.012210846
152,0.012737274
153,0.014297485
154,0.014877319
155,0.013904572
156,0.011669159
157,0.009307861
158,0.00617981
159,0.0037117
160,0.002456665
161,0.001533508
162,0.00202179
163,0.002902985
164,0.003704071
165,0.004550934
166,0.005104065
167,0.005199432
168,0.005432129
169,0.005977631
170,0.006332397
171,0.005828857
172,0.005149841
173,0.00579071
174,0.006973267
175,0.007980347
176,0.008453369
177,0.008148193
178,0.008266449
179,0.007068634
180,0.005821228
181,0.004699707
182,0.00422287
183,0.004497528
184,0.005420685
185,0.008270264
186,0.011581421
187,0.015892029
188,0.020084381
189,0.025054932
190,0.029663086
191,0.034191132
192,0.038516998
193,0.040836334
194,0.044998169
195,0.046287537
196,0.047107697
197,0.04693222
198,0.04693985
199,0.04630661
200,0.046321869
201,0.047981262
202,0.048179626
203,0.049468994
204,0.050201416
205,0.050731659
206,0.049732208
207,0.048843384
208,0.047382355
209,0.047721863
210,0.0483284
211,0.047626495
212,0.049980164
213,0.05197525
214,0.053882599
215,0.055290222
216,0.05632019
217,0.056110382
218,0.056999207
219,0.057426453
220,0.058074951
221,0.059364319
222,0.060546875
223,0.061336517
224,0.060241699
225,0.059364319
226,0.057044983
227,0.054618835
228,0.053791046
229,0.052448273
230,0.051620483
231,0.049228668
232,0.049137115
233,0.049690247
234,0.048458099
235,0.048297882
236,0.047325134
237,0.046550751
238,0.045501709
239,0.043540955
240,0.041118622
241,0.038551331
242,0.037380219
243,0.035419464
244,0.033237457
245,0.031982422
246,0.030040741
247,0.029087067
248,0.029045105
249,0.028469086
250,0.02778244
251,0.028068542
252,0.02721405
253,0.026733398
254,0.026447296
255,0.025909424
256,0.024864197
257,0.022815704
258,0.022426605
259,0.021430969
260,0.021575928
261,0.020095825
262,0.019069672
263,0.018192291
264,0.017425537
265,0.016933441
266,0.017166138
267,0.017150879
268,0.017292023
269,0.016841888
270,0.017192841
271,0.016983032
272,0.017414093
273,0.016906738
274,0.017333984
275,0.017002106
276,0.016651154
277,0.016166687
278,0.01606369
279,0.01556015
280,0.015399933
281,0.014339447
282,0.013450623
283,0.012908936
284,0.012382507
285,0.012237549
